UF;Cidade;CÓDIGO IBGE;POPULAÇÃO ESTIMADA (2016);Valor Previsto;PONTOS ATENDIDOS;STATUS IMPLANTAÇÃO
CE;Viçosa do Ceará;2314102;59487;506781;20;Implantada
DF;Estrutural;5300108;#N/D;406777,1064;15;Implantada
ES;Afonso Cláudio;3200102;32407;780654,21;27;Sem Previsão
ES;Ecoporanga;3202108;24243;540762,65;7;Sem Previsão
ES;Pinheiros;3204104;26863;998180,59;30;Sem Previsão
ES;Santa Maria de Jetibá;3204559;39396;794170,33;30;Sem Previsão
GO;Caiapônia;5204409;18329;906494,09;13;Sem Previsão
GO;Divinópolis de Goiás;5208301;5007;360499,19;13;Sem Previsão
GO;Itapuranga;5211206;26612;885670,15;24;Sem Previsão
GO;Jandaia;5211701;6263;549369,23;17;Sem Previsão
GO;Matrinchã;5212956;4495;276226,89;10;Sem Previsão
GO;Nerópolis;5214507;27812;876496,87;27;Sem Previsão
GO;Niquelândia;5214606;45582;1099715,59;19;Sem Previsão
GO;Paranaiguara;5216304;9841;502769,75;9;Sem Previsão
GO;Rubiataba;5218904;19914;1018336,11;27;Sem Previsão
GO;Teresina de Goiás;5221080;3327;328258,55;9;Sem Previsão
MA;Amarante do Maranhão;2100600;40756;945609,08;34;Sem Previsão
MA;Apicum-Açu;2100832;18169;592591,7;20;Sem Previsão
MA;Arari;2101004;29297;871581,16;30;Sem Previsão
MA;Buriti;;;677397,63;19;cancelada
MA;Buriti Bravo;2102309;23437;928283,68;34;Sem Previsão
MA;Buritirana;2102358;15142;465860,24;18;Sem Previsão
MA;Cajari;2102507;19030;592591,7;20;Sem Previsão
MA;Cândido Mendes;2102606;19827;418515,74;15;Sem Previsão
MA;Cantanhede;2102705;21617;900614,38;33;Sem Previsão
MA;Duque Bacelar;2103901;11148;498937,55;16;Sem Previsão
MA;Godofredo Viana;2104305;11654;291229,74;11;Sem Previsão
MA;Governador Nunes Freire;2104677;25052;750281,5;22;Sem Previsão
MA;Humberto de Campos;2105005;28252;577921,74;20;Sem Previsão
MA;Jenipapo dos Vieiras;2105476;16226;477330,04;17;Sem Previsão
MA;Magalhães de Almeida;2106300;19532;572200,39;20;Sem Previsão
MA;Matões;2106607;33188;779497,92;27;Sem Previsão
MA;Pastos Bons;2108009;19140;856076,52;31;Sem Previsão
MA;Pedro do Rosário;2108256;24748;555385,46;21;Sem Previsão
MA;Santa Rita;2110203;36556;918594,72;27;Sem Previsão
MA;São Félix de Balsas;2110807;4484;277811,5;10;Sem Previsão
MA;São João Batista;2111003;20272;664540,54;30;Sem Previsão
MA;São João do Soter;2111078;18225;592549,7;20;Sem Previsão
MA;São José de Ribamar;2111201;176008;524280,75;13;Implantada
MA;São José dos Basílios;2111250;7489;453268,86;23;Sem Previsão
MA;Urbano Santos;2112605;32629;935412,72;34;Sem Previsão
MA;Viana;2112803;51503;772597,3;14;Sem Previsão
MG;Araçuaí;3103405;37317;1226878,42;48;Implantada
MG;Ataléia;3104700;13897;677429,81;20;Sem Previsão
MG;Bonito de Minas;3108255;10797;493606,18;14;Sem Previsão
MG;Botumirim;3108503;6557;372703,8;16;Sem Previsão
MG;Buritizeiro;3109402;28251;1204352,22;24;Implantada
MG;Chapada Gaúcha;3116159;12739;625142,48;20;Implantada
MG;Francisco Badaró;3126505;10553;507294,62;11;Sem Previsão
MG;Grão Mogol;3127800;15870;543768,8;25;Sem Previsão
MG;Inhapim;3130903;24813;638250,82;25;Sem Previsão
MG;Itamarandiba;3132503;34462;789334,91;24;Implantada
MG;Itambacuri;3132701;23612;684848,87;17;Implantada
MG;Itinga;3134004;15104;600277,22;26;Sem Previsão
MG;Japonvar;3135357;8664;507879,32;20;Implantada
MG;Jequeri;3135506;12901;452115,69;21;Sem Previsão
MG;Manga;3139300;19494;884532,58;32;Implantada
MG;Monte Azul;3142908;21884;866711,44;33;Implantada
MG;Nepomuceno;3144607;26977;635396;25;Implantada
MG;Pimenta;3150505;8688;290226,96;9;Implantada
MG;Piranga;3150802;17892;518720;20;Sem Previsão
MG;Porteirinha;3152204;38730;821017,18;23;Implantada
MG;Rio Acima;3154804;10026;270662,8;7;Implantada
MG;Rubelita;3156502;6937;449756,78;12;Sem Previsão
MG;Salinas;3157005;41494;1072570,7;29;Sem Previsão
MG;Santana do Manhuaçu;3158904;8849;417308,13;12;Sem Previsão
MG;Santo Antônio do Retiro;3160454;7315;354122,34;9;Implantada
MG;Simonésia;3167608;19530;415175,48;10;Sem Previsão
MG;Varzelândia;3170909;19712;586097,6;20;Implantada
MG;Verdelândia;3171030;9140;538911,86;11;Implantada
MS;Aquidauana;5001102;47323;1796471,81;33;Implantada
MS;Sidrolândia;5007901;52975;1050595,61;38;Implantada
MS;Terenos;5008008;20387;680997,61;23;Implantada
MT;Campinápolis;5102603;15252;700685,43;20;Sem Previsão
MT;Colniza;5103254;34885;1120514,49;30;Sem Previsão
MT;Nossa Senhora do Livramento;5106109;12518;586821,47;18;Sem Previsão
MT;Rosário Oeste;5107701;17016;1084905,79;29;Sem Previsão
PA;Água Azul do Norte;;;918552,72;27;cancelada
PA;Almeirim;1500503;33282;741201,86;30;Sem Previsão
PA;Augusto Corrêa;1500909;44227;911062,16;35;Sem Previsão
PA;Baião;1501204;44956;761373,62;23;Sem Previsão
PA;Chaves;1502509;22821;920152,72;27;Sem Previsão
PA;Conceição do Araguaia;1502707;46485;886824,75;27;Implantada
PA;Curralinho;1502806;32881;514114,46;23;Sem Previsão
PA;Curuçá;1502905;38391;410530,85;11;Implantada
PA;Goianésia do Pará;1503093;38677;542790,75;14;Implantada
PA;Itaituba;1503606;98485;912156,65;30;Implantada
PA;Mãe do Rio;1504059;29112;752184,78;20;Sem Previsão
PA;Marituba;1504422;125435;731889,75;19;Implantada
PA;Muaná;1504901;38616;791851,9;23;Sem Previsão
PA;Novo Progresso;1505031;25102;1435144,47;38;Sem Previsão
PA;Óbidos;1505106;50596;1065228,26;38;Sem Previsão
PA;Pacajá;1505486;45596;918477,2;29;Sem Previsão
PA;Palestina do Pará;1505494;7404;721189,04;23;Sem Previsão
PA;Paragominas;1505502;108547;1009539,75;34;Implantada
PA;São Domingos do Araguaia;1507151;24659;944073,64;33;Sem Previsão
PA;São Sebastião da Boa Vista;1507706;25540;1019380,74;28;Sem Previsão
PA;Soure;1507904;24488;1436297,7;38;Sem Previsão
PA;Trairão;1508050;18280;508526,11;15;Implantada
PA;Tucuruí;1508100;108885;544884,35;13;Implantada
PA;Uruará;1508159;44370;769563,93;26;Implantada
PB;Algodão de Jandaíra;2500577;2488;289596,37;15;Sem Previsão
PB;Cabaceiras;2503100;5511;342116,8007;15;Implantada
PB;Cachoeira dos Índios;2503308;10191;413399,5;14;Implantada
PB;Esperança;2506004;33031;633303,8025;23;Implantada
PB;Itaporanga;2507002;24674;639547,2029;23;Implantada
PB;Lagoa Seca;2508307;27398;588578,6014;23;Implantada
PB;Mari;2509107;21806;820023;42;Sem Previsão
PB;Nova Floresta;2510105;10644;254079,8972;6;Implantada
PB;Pocinhos;2512002;18451;406851,0813;14;Implantada
PB;Queimadas;2512507;43945;527688,6819;19;Implantada
PB;Riachão do Poço;;;271785,75;10;cancelada
PB;São João do Rio do Peixe;2500700;17934;539615,4022;19;Implantada
PB;Seridó;2515401;10994;414241,02;17;Sem Previsão
PB;Sobrado;;;313026,32;11;cancelada
PB;Solânea;2516003;26551;823494,82;28;Sem Previsão
PB;Sumé;2516300;16872;560687,23;26;Sem Previsão
PB;Teixeira;2516706;15085;629847,4;20;Sem Previsão
PB;Vieirópolis;2517209;5327;360130,03;16;Sem Previsão
PE;Altinho;2600807;22886;535504,77;13;Implantada
PE;Bodocó;2602001;37571;470084,1;14;Implantada
PE;Bom Conselho;2602100;47991;1055014,86;24;Implantada
PE;Camutanga;2603603;8472;401410,82;14;Implantada
PE;Cortês;2604809;12581;508256,37;24;Implantada
PE;Dormentes;2605152;18510;481178,83;16;Sem Previsão
PE;Exu;2605301;31858;661855,41;22;Sem Previsão
PE;Granito;2606309;7363;456930,19;15;Sem Previsão
PE;Itambé;2607653;36299;910778,44;34;Implantada
PE;Lagoa Grande;2608750;25030;560139,77;21;Sem Previsão
PE;Machados;2609105;15571;584854,35;20;Implantada
PE;Moreilândia;2614303;11240;591799,01;20;Sem Previsão
PE;Santa Cruz;2612455;15032;471426,07;15;Sem Previsão
PE;Tupanatinga;2615805;26727;562734,6;25;Implantada
PE;Tuparetama;2615904;8159;409294,75;18;Sem Previsão
PE;Vicência;2616308;32296;413073,29;12;Implantada
PI;Canto do Buriti;2202307;20770;813893,1;22;Implantada
PI;Coronel José Dias;2202851;4605;229836,98;7;Implantada
PI;Curimatá;2203206;11158;738588,14;18;Implantada
PI;Inhuma;2204709;15056;483830;16;Implantada
PI;Joca Marques;2205458;5331;340013,39;9;Sem Previsão
PI;Júlio Borges;2205524;5523;381318,38;14;Implantada
PI;Luís Correia;2205706;29683;824906,65;21;Sem Previsão
PI;Nossa Senhora de Nazaré;2206753;4768;240826,432;8;Sem Previsão
PI;Nossa Senhora dos Remédios;2206803;8521;444251,27;15;Implantada
PI;Oeiras;2207009;36385;945054,68;18;Implantada
PI;Pedro II;2207900;38090;1171791,75;35;Sem Previsão
PI;Regeneração;2208809;17697;583779;20;Implantada
PI;Ribeira do Piauí;2208874;4393;242612,5;8;Implantada
PI;São João da Fronteira;2209872;5919;410240,33;12;Sem Previsão
PI;São José do Divino;2210052;5253;309418,35;9;Implantada
PI;Sebastião Barros;2210623;3437;235679,98;9;Implantada
PI;Socorro do Piauí;2210904;4506;288380,56;10;Implantada
PI;Várzea Branca;2211357;4881;261639,58;7;Implantada
PR;Assis Chateaubriand;4102000;34046;657654,01;24;Implantada
PR;Bandeirantes;4102406;32562;264229,7047;7;cancelada
PR;Ibaiti;4109708;30888;876774,62;37;cancelada
PR;Ibiporã;4109807;52848;451469,6457;11;Implantada
PR;Imbituva;4110102;31391;730635,37;16;Implantada
PR;Jacarezinho;4111803;40253;1097593,4;25;Implantada
PR;Jaguariaíva;4112009;34647;1289645,04;40;Implantada
PR;Palmas;4117602;48339;859789,4;28;Implantada
PR;Pinhão;4119301;32152;916825,3;32;Implantada
PR;Piraí do Sul;4119400;25117;785249,01;23;Implantada
PR;Quatro Barras;4120804;22353;494728,9457;14;Implantada
PR;Reserva;4121703;26643;671768,65;24;Implantada
PR;Santa Cecília do Pavão;4123204;3570;254905,7729;6;Implantada
PR;Santo Antônio da Platina;4124103;45562;1067635,12;21;cancelada
PR;São Mateus do Sul;4125605;45000;1306948,03;29;Implantada
PR;São Miguel do Iguaçu;4125704;27330;766644;28;Implantada
PR;Toledo;4127700;133824;665373,7;23;Implantada
RJ;Bom Jardim;3300506;26424;770980,33;21;Sem Previsão
RJ;Casimiro de Abreu;3301306;41167;842187,31;36;Sem Previsão
RJ;Engenheiro Paulo de Frontin;3301801;13521;337395;11;Implantada
RJ;Itaocara;3302106;22736;709169,31;23;Sem Previsão
RJ;Maricá;3302700;149876;462754;19;Implantada
RJ;Miguel Pereira;3302908;24855;1387111,83;14;Implantada
RJ;Paraíba do Sul;3303708;42737;1267858,79;35;Implantada
RJ;Paraty;3303807;40975;1050686,93;39;cancelada
RJ;Piraí;3304003;28088;907753,83;27;cancelada
RJ;Santo Antônio de Pádua;3304706;41246;1338880,4;39;Implantada
RJ;São Francisco de Itabapoana;3304755;41240;610044,96;17;Implantada
RJ;São João da Barra;3305000;34884;547505,97;18;Implantada
RJ;São José do Vale do Rio Preto;3305158;21017;585771,92;16;cancelada
RJ;Silva Jardim;3305604;21279;859484,4;21;Implantada
RJ;Vassouras;3306206;35622;1200224,81;22;Implantada
RN;Baía Formosa;2401404;9247;528313,59;26;Sem Previsão
RN;Frutuoso Gomes;2404002;4204;303633,93;15;Implantada
RN;Ipanguaçu;2404705;15308;467851,15;15;Sem Previsão
RN;Jaçanã;2405009;8949;624127,83;26;Sem Previsão
RN;Lajes;2406700;11234;577091,88;20;Sem Previsão
RN;Portalegre;2410207;7861;434838,27;12;Implantada
RN;Riachuelo;2410900;7970;478919,64;11;Sem Previsão
RN;Santana do Matos;2411403;13445;577091,88;20;Implantada
RN;São João do Sabugi;2412104;6240;399082,8016;13;Implantada
RO;Buritis;1100452;38450;1035208,77;25;Sem Previsão
RO;Guajará-Mirim;1100106;47048;1132841,73;14;Sem Previsão
RR;Rorainópolis;1400472;27756;1038572,22;21;Sem Previsão
RS;Caçapava do Sul;4302808;34644;1305619,56;47;Sem Previsão
RS;Candelária;4304200;31541;550506;19;cancelada
RS;Canela;4304408;42746;880570,72;27;Implantada
RS;Cerro Grande do Sul;4305173;11377;441659,08;12;Sem Previsão
RS;Fontoura Xavier;4308300;10861;488185,4;14;Sem Previsão
RS;Igrejinha;4310108;34630;1204058,72;21;Implantada
RS;Itaqui;4310603;39049;1471652,94;39;Sem Previsão
RS;Jari;4311130;3650;219572,5;5;Implantada
RS;Não-Me-Toque;4312658;17094;551800,26;18;Implantada
RS;Nova Bassano;4312906;9540;366833,2;11;cancelada
RS;Rio Pardo;4315701;38968;1205607,46;31;Sem Previsão
RS;Rolante;4316006;20819;855245,34;20;Implantada
RS;Rosário do Sul;4316402;40750;1116548,04;28;Sem Previsão
RS;Santo Ângelo;4317509;79040;1009260,4;35;Implantada
RS;São José do Norte;4318507;27095;715597,52;26;Sem Previsão
RS;São Miguel das Missões;4319158;7742;449550,35;15;Implantada
SC;Araquari;4201307;33867;502951,3;12;Implantada
SC;Curitibanos;4204806;39399;1425445,82;31;em implantação
SC;Guaramirim;4206504;41879;791902,62;17;em implantação
SC;Joaçaba;4209003;29310;582602,8;18;Implantada
SC;São Francisco do Sul;4216206;49658;765171,04;16;Sem Previsão
SC;São Joaquim;4216503;26447;777440,24;14;em implantação
SE;Nossa Senhora da Glória;2804508;36174;907385,17;29;Implantada
SE;Pacatuba;2804904;14293;547876,31;21;Implantada
SE;Riachão do Dantas;2805802;19995;473310,93;21;Implantada
SE;Tobias Barreto;2807402;51770;829388,43;36;Implantada
SP;Apiaí;3502705;25077;957039,36;35;Implantada
SP;Araçoiaba da Serra;3502903;31915;1625187,54;22;Implantada
SP;Barra do Chapéu;3505351;5619;335161,32;11;Implantada
SP;Boituva;3507001;56830;1391367,12;44;em implantação
SP;Cachoeira Paulista;3508603;32536;935119,68;27;Implantada
SP;Casa Branca;3510807;30012;606721,856;21;Implantada
SP;Conchal;3512209;27345;1135692,68;39;Implantada
SP;Descalvado;3513702;33165;436060,304;17;Implantada
SP;Espírito Santo do Pinhal;3515186;44036;1661169,74;47;Implantada
SP;Guararapes;3518206;32502;816511,6008;26;Implantada
SP;Guareí;3518503;17213;505817,04;18;Implantada
SP;Ibaté;3519303;33884;1584846,88;34;Implantada
SP;Ituverava;3524105;41206;1448262,92;28;Implantada
SP;Jales;3524808;49017;1705825,26;42;Implantada
SP;Jarinu;3525201;28012;1277621,82;28;Implantada
SP;Lourdes;3527256;2260;423265,2868;15;Implantada
SP;Louveira;3527306;44904;1204519,24;17;em implantação
SP;Mairinque;3528403;46294;1390757,84;23;Implantada
SP;Miracatu;3529906;20409;652792,68;17;Implantada
SP;Mirante do Paranapanema;3530201;18056;610647,24;24;Implantada
SP;Orlândia;3534302;42996;1595135,44;58;Implantada
SP;Pederneiras;3536703;45314;1516904,64;51;Implantada
SP;Penápolis;3537305;62409;687521,5597;21;Implantada
SP;Presidente Epitácio;3541307;43718;568973,4186;16;Implantada
SP;Presidente Venceslau;3541505;39476;1347227,08;42;Implantada
SP;Promissão;3541604;39139;864957,78;30;Implantada
SP;Santa Gertrudes;3546702;25192;715076,0008;25;Implantada
SP;São Joaquim da Barra;3549409;50520;1536581,6;22;Implantada
SP;São Manuel;3550100;40532;1119305,92;26;Implantada
SP;São Pedro;3550407;34595;1015248,54;10;Implantada
SP;Serrana;3551504;43293;1199583,92;40;Implantada
SP;Socorro;3552106;39896;725236,3643;24;Implantada
SP;Tietê;3554508;40613;1980602,66;44;Implantada
SP;Valparaíso;3556305;25316;978516,72;23;Implantada
SP;Vargem Grande do Sul;3556404;42061;1525640,54;47;Implantada
TO;Paraíso do Tocantins;1716109;49727;1872693,9;41;Implantada
TO;Ponte Alta do Bom Jesus;1717800;4647;251266,44;9;Implantada
TO;Porto Nacional;1718204;52510;1101168,76;58;Implantada
TO;São Miguel do Tocantins;1720200;11754;592549,7;20;Sem Previsão
